Movie_Name, Cast_Name, Total_Centrality, Average_Centrality
Haathi Mere Saathi,raju,395.6666667,6.28042328
Suhaagan,jagat,0,0
Suhaagan,murali,490,6.805555556
Suhaagan,ram,0,0
Hare Rama Hare Krishna,michael,45,0.775862069
Hare Rama Hare Krishna,drona,574.5,4.827731092
Hare Rama Hare Krishna,prashant,1064.5,3.683391003
Hare Rama Hare Krishna,father,199.6666667,3.327777778
Shart,vikram,0,0
Shart,inspector,0,0
Hulchul,mahesh,16,0.470588235
Hulchul,peter,963,5.836363636
Hulchul,man,102.5,3.416666667
Hulchul,kumar,11,0.35483871
Shatru,choudhry,360.1666667,16.37121212
Shatru,nishikant,4,0.166666667
Shatru,shah,401.4166667,7.433641975
Shatru,inspector,30,6
Shatru,man,192.6666667,8.376811594
Shatru,ashok,761.5,3.905128205
Singhasan,the,2,0.01183432
Singhasan,simha,101.8333333,1.786549708
Singhasan,vardhana,824.6666667,8.32996633
Singhasan,chandana,71,2.62962963
Singhasan,aditya,3,0.03030303
Singhasan,vikrama,0,0
Swarag Se Sunder,son,1321.833333,36.71759259
Swarag Se Sunder,ravi,776.1666667,3.610077519
Swarag Se Sunder,milavat,18,0.178217822
Swarag Se Sunder,brother,19,0.655172414
Swarag Se Sunder,vijay,691.3333333,4.164658635
Swarag Se Sunder,ram,601.6666667,5.841423948
Swati,prakash,146.5,3.255555556
Swati,mohan,118,9.076923077
Swati,man,34,4.857142857
Swati,satya,34,0.566666667
The Living Corpse,the,0,0
Johar Mehmood in Hong Kong,mahesh,0,0
Johar Mehmood in Hong Kong,man,318,11.35714286
Johar Mehmood in Hong Kong,pran,141,7.05
Johar Mehmood in Hong Kong,johar,79,2.548387097
Kal Aaj Aur Kal,bahadur,0,0
Kal Aaj Aur Kal,diwan,0,0
Kal Aaj Aur Kal,rajesh,172.5,4.207317073
Kal Aaj Aur Kal,ram,125,2.5
Kangan,sunil,17,0.548387097
Kathputli,vishal,1223.166667,18.25621891
Kati Patang,kamal,256.6666667,2.121212121
Kati Patang,kailash,52,1.575757576
Kati Patang,dinanath,44,0.698412698
Lal Patthar,raja,0,0
Lal Patthar,man,207.8333333,9.036231884
Lal Patthar,kumar,0,0
Main Sunder Hoon,amar,1550.945238,9.231816893
Main Sunder Hoon,actor,6,1.5
Main Sunder Hoon,sunder,224.5,1.282857143
Main Sunder Hoon,heartbroken,0,0
Main Sunder Hoon,father,117,9
Main Sunder Hoon,man,165,5.15625
Aan Baan,suraj,158.3333333,2.553763441
Aan Baan,raja,0,0
Aan Baan,bahadur,97.66666667,1.162698413
Aan Baan,brother,112,4.48
Aan Baan,hiralal,35,1.206896552
Aankhon Aankhon Mein,son,121,4.481481481
Aankhon Aankhon Mein,kulwant,26,0.456140351
Aankhon Aankhon Mein,rai,62,2.384615385
Aankhon Aankhon Mein,rakesh,195,2.4375
Amar Prem,anand,2808,11.65145228
Amar Prem,son,855.7238095,7.313878714
Amar Prem,father,440.1761905,3.794622332
Amar Prem,nandu,4585.52619,12.460669
Amar Prem,man,102,6
Amar Prem,brother,296.6666667,11.86666667
Mehboob Ki Mehndi,yusuf,236.3333333,3.635897436
Mehboob Ki Mehndi,nephew,25.33333333,2.303030303
Mehboob Ki Mehndi,khairuddin,0,0
Annadata,prasad,642.5,6.177884615
Annadata,amba,299.8333333,1.675046555
Annadata,man,626.5,17.9
Annadata,brother,171.8666667,5.208080808
Anokha Milan,brother,152,4.75
Mera Gaon Mera Desh,havaldar,0,0
Mera Gaon Mera Desh,ajit,524.9166667,4.771969697
Mera Gaon Mera Desh,jaswant,18,0.352941176
Mera Gaon Mera Desh,jabbar,837.2,13.28888889
Anuraag,father,6.5,1.083333333
Anuraag,boy,187,6.448275862
Anuraag,rajesh,2,0.074074074
Apna Desh,man,102,6
Apna Desh,brother,173,5.580645161
Apradh,brother,666.75,18.52083333
Apradh,ram,151.25,1.387614679
Bawarchi,raghu,72,1.384615385
Bawarchi,man,68,4.533333333
Parwana,kumar,83,0.922222222
Parwana,rajesh,205.6666667,4.674242424
Be-Imaan,mohan,0,0
Be-Imaan,father,31.5,1.96875
Patanga,amar,177,1.127388535
Patanga,chandan,0,0
Patanga,shyam,648.5833333,3.148462783
Patanga,singh,1668.566667,9.480492424
Patanga,kuldeep,413.5,6.669354839
Patanga,brother,437.8333333,9.950757576
Bhai Ho To Aisa,thakur,493.5,8.225
Bhai Ho To Aisa,son,391.3333333,7.986394558
Bhai Ho To Aisa,bharat,562.1666667,7.027083333
Bhai Ho To Aisa,man,6,0.857142857
Bhai Ho To Aisa,ram,176,4.512820513
Dastaan,the,0,0
Dastaan,rajen,18,0.818181818
Dastaan,sunil,96,2.594594595
Dastaan,vishnu,416,1.512727273
Dastaan,man,95,4.523809524
Dastaan,judge,6,0.461538462
Dastaan,anil,74,0.986666667
Dharkan,suraj,280.6666667,3.844748858
Dharkan,deepak,344,4.467532468
Dharkan,father,62.41666667,2.972222222
Dharkan,friend,448.5,8.008928571
Dharkan,kewal,0,0
Dharkan,doby,360,7.2
Dharkan,brother,60.33333333,3.770833333
Pyar Ki Kahani,ravi,586.8333333,5.193215339
Pyar Ki Kahani,ram,490.1666667,3.577858881
Reshma Aur Shera,father,268,9.925925926
Reshma Aur Shera,shera,83.33333333,0.651041667
Reshma Aur Shera,gopal,105.3333333,5.266666667
Reshma Aur Shera,brother,239.3333333,9.972222222
Reshma Aur Shera,chotu,438.1666667,6.741025641
Do Chor,tony,235,4.519230769
Do Chor,the,0,0
Do Chor,father,12.5,3.125
Do Chor,man,0,0
Sanjog,son,84,5.25
Sanjog,father,234.5,9.38
Sanjog,mohan,32,0.507936508
Dushman,surjit,1212.5,2.846244131
Dushman,father,525.6666667,10.51333333
Dushman,judge,350.4333333,3.369551282
Dushman,man,177,13.61538462
Dushman,singh,13,1.625
Ek Bechara,rajen,46,2.3
Ek Bechara,raibahadur,399.75,1.940533981
Ek Bechara,father,52.83333333,1.124113475
