Movie_Name, Cast_Name, Total_Centrality, Average_Centrality
Rangeela,mili,171.3333333,1.307888041
Rangeela,daughter,71.66666667,5.972222222
Roti Kapda Aur Makaan,mohan,30,1.034482759
Roti Kapda Aur Makaan,sheetal,45.5,0.598684211
Roti Kapda Aur Makaan,girl,150,12.5
Roti Kapda Aur Makaan,babu,128,11.63636364
Rock Dancer,sister,26.5,2.944444444
Sauda (film),jyoti,2261.35,13.30205882
Sauda (film),girl,67.75,11.29166667
Surakshaa,amar,93,1.978723404
Surakshaa,kiran,438.5,5.158823529
Vachan,girl,327,19.23529412
Vachan,kamla,3321.933333,24.60691358
Vachan,shyama,176,8.380952381
Takkar,mohini,328.1666667,2.395377129
Taqdeerwala,mother,1731.819048,7.836285283
Taqdeerwala,woman,0,0
Aaja Sanam,shanti,205,3.416666667
Aakhri Daao,daughter,302.6666667,9.458333333
Veergati,girl,18,2.571428571
Yaraana,mother,34.83333333,1.201149425
Yaraana,shikha,42,3.818181818
Yaraana,lalita,1078,6.022346369
Yaraana,madhi,54,2.7
Zamana Deewana,priya,502.3333333,29.54901961
Zamana Deewana,daughter,344,22.93333333
Aandhi,aarti,26,1.083333333
Aandhi,daughter,33,4.714285714
Anari,mrs.,0,0
Chhoti Si Baat,prabha,128,2.285714286
Chupke Chupke,vasudha,102,1.59375
Chupke Chupke,lata,0,0
Chupke Chupke,woman,0,0
Chupke Chupke,sulekha,227.5,1.506622517
Deewaar,sumitra,0,0
Deewaar,mother,702.1666667,9.488738739
Deewaar,anita,148,2.114285714
Deewaar,ravi,350.5,2.246794872
Deewaar,veera,34,4.25
Dharam Karam,kanta,0,0
Dharmatma,mona,158,1.564356436
Dharmatma,anu,104,1.890909091
Dharmatma,mother,138.7,8.66875
Dharmatma,reshma,50,0.574712644
Dharmatma,vikram,136.5,1.003676471
Dharmatma,anokhelal,186.6666667,2.333333333
Dharmatma,singh,512.5,5.570652174
Players,naina,331.5,2.492481203
Players,riya,126,1.223300971
Players,daughter,324.5,14.10869565
Players,charlie,1130.666667,4.691562932
Ghost,suhani,58.83333333,1.368217054
Ek Mahal Ho Sapno Ka,daughter,79,7.181818182
Faraar,woman,119,4.958333333
Faraar,sister,43,1.162162162
Agneepath,gawde,165,10.3125
Agneepath,girl,364,11.375
Agneepath,mother,136.8333333,2.683006536
Geet Gaata Chal,radha,7,0.304347826
Gali Gali Chor Hai,girl,3114.433333,91.60098039
